Origin	Destination	
Acapulco	Baltimore	
Acapulco	Buffalo	
Acapulco	Chicago	
Acapulco	Denver	
Acapulco	Houston	
Acapulco	Lincoln	
Acapulco	New York/Newark	
Acapulco	Orange County	
Acapulco	San Francisco	
Acapulco	Washington, D.C.	
Accra	Atlanta	
Accra	Baltimore	
Accra	Boston	
Accra	Charlotte	
Accra	Chicago	
Accra	Cincinnati	
Accra	Columbus	
Accra	Dallas	
Accra	Dayton	
Accra	Denver	
Accra	Fort Lauderdale	
Accra	Hartford	
Accra	Houston	
Accra	Los Angeles	
Accra	Minneapolis	
Accra	New York/Newark	
Accra	Orlando	
Accra	Philadelphia	
Accra	Raleigh	
Accra	San Francisco	
Accra	Toronto	
Accra	Washington, D.C.	
Adelaide	Los Angeles	
Adelaide	New York/Newark	
Agana, Guam	Anchorage	
Agana, Guam	Aspen	
Agana, Guam	Atlanta	
Agana, Guam	Austin	
Agana, Guam	Baltimore	
Agana, Guam	Bangkok	
Agana, Guam	Beijing	
Agana, Guam	Billings	
Agana, Guam	Boise	
Agana, Guam	Boston	
Agana, Guam	Bozeman	
Agana, Guam	Buffalo	
Agana, Guam	Charleston	
Agana, Guam	Charlotte	
Agana, Guam	Chicago	
Agana, Guam	Chuuk	
Agana, Guam	Cleveland	
Agana, Guam	Columbus	
Agana, Guam	Coxen Hole	
Agana, Guam	Dallas	
Agana, Guam	Delhi	
Agana, Guam	Denver	
Agana, Guam	Detroit	
Agana, Guam	El Paso	
Agana, Guam	Eugene	
Agana, Guam	Fort Collins	
Agana, Guam	Fort Lauderdale	
Agana, Guam	Fresno	
Agana, Guam	Fukuoka	
Agana, Guam	Great Falls	
Agana, Guam	Gunnison	
Agana, Guam	Hartford	
Agana, Guam	Helena	
Agana, Guam	Ho Chi Minh City	
Agana, Guam	Hong Kong	
Agana, Guam	Honolulu	
Agana, Guam	Houston	
Agana, Guam	Idaho Falls	
Agana, Guam	Jackson	
Agana, Guam	Jacksonville	
Agana, Guam	Kalispell	
Agana, Guam	Knoxville	
Agana, Guam	Koror	
Agana, Guam	Kosrae	
Agana, Guam	Kwajalein	
Agana, Guam	Las Vegas	
Agana, Guam	Lexington	
Agana, Guam	Los Angeles	
Agana, Guam	Louisville	
Agana, Guam	Majuro	
Agana, Guam	Manila	
Agana, Guam	Maui	
Agana, Guam	Miami	
Agana, Guam	Milwaukee	
Agana, Guam	Minneapolis	
Agana, Guam	Minot	
Agana, Guam	Missoula	
Agana, Guam	Montrose	
Agana, Guam	Nagoya	
Agana, Guam	Nashville	
Agana, Guam	New Orleans	
Agana, Guam	New York/Newark	
Agana, Guam	Norfolk	
Agana, Guam	Okinawa	
Agana, Guam	Oklahoma City	
Agana, Guam	Omaha	
Agana, Guam	Ontario	
Agana, Guam	Orange County	
Agana, Guam	Orlando	
Agana, Guam	Osaka	
Agana, Guam	Pensacola	
Agana, Guam	Philadelphia	
Agana, Guam	Phoenix	
Agana, Guam	Pittsburgh	
Agana, Guam	Pohnpei	
Agana, Guam	Portland, OR	
Agana, Guam	Providence	
Agana, Guam	Raleigh	
Agana, Guam	Reno	
Agana, Guam	Richmond	
Agana, Guam	Sacramento	
Agana, Guam	Saint Louis	
Agana, Guam	Saipan	
Agana, Guam	Salt Lake City	
Agana, Guam	San Antonio	
Agana, Guam	San Diego	
Agana, Guam	San Francisco	
Agana, Guam	San Jose	
Agana, Guam	Santa Barbara	
Agana, Guam	Sapporo	
Agana, Guam	Seattle	
Agana, Guam	Sendai	
Agana, Guam	Seoul	
Agana, Guam	Shanghai	
Agana, Guam	Shreveport	
Agana, Guam	Singapore	
Agana, Guam	Spokane	
Agana, Guam	State College	
Agana, Guam	Steamboat Springs	
Agana, Guam	Sun Valley	
Agana, Guam	Taipei	
Agana, Guam	Tampa	
Agana, Guam	Tokyo	
Agana, Guam	Toronto	
Agana, Guam	Tucson	
Agana, Guam	Vail	
Agana, Guam	Washington, D.C.	
Agana, Guam	West Palm Beach	
Agana, Guam	Yap	
Aguadilla	Baltimore	
Aguadilla	Boston	
Aguadilla	Buffalo	
Aguadilla	Chicago	
Aguadilla	Cleveland	
Aguadilla	El Paso	
Aguadilla	Hartford	
Aguadilla	Houston	
Aguadilla	Kansas City	
Aguadilla	Las Vegas	
Aguadilla	Minneapolis	
Aguadilla	Nashville	
Aguadilla	New York/Newark	
Aguadilla	Norfolk	
Aguadilla	Orlando	
Aguadilla	Ottawa	
Aguadilla	Philadelphia	
Aguadilla	Providence	
Aguadilla	Raleigh	
Aguadilla	San Francisco	
Aguadilla	Traverse City	
Aguadilla	Washington, D.C.	
Aguadilla	Wichita	
Aguascalientes	Chicago	
Aguascalientes	Denver	
Aguascalientes	Houston	
Aguascalientes	Shanghai	
Aguascalientes	Tokyo	
Ahmedabad	Atlanta	
Ahmedabad	Chicago	
Ahmedabad	Dallas	
Ahmedabad	Houston	
Ahmedabad	Los Angeles	
Ahmedabad	New York/Newark	
Ahmedabad	San Francisco	
Ahmedabad	Toronto	
Ahmedabad	Washington, D.C.	
Akron	Austin	
Akron	Bangkok	
Akron	Birmingham	
Akron	Bogota	
Akron	Boston	
Akron	Bozeman	
Akron	Cancun	
Akron	Chicago	
Akron	Dallas	
Akron	Denver	
Akron	Fort Lauderdale	
Akron	Fort Myers	
Akron	Honolulu	
Akron	Houston	
Akron	Huntsville	
Akron	Kansas City	
Akron	Las Vegas	
Akron	Los Angeles	
Akron	Manchester	
Akron	Maui	
Akron	Medford	
Akron	Miami	
Akron	Minneapolis	
Akron	Monterey	
Akron	Mumbai	
Akron	New Orleans	
Akron	New York/Newark	
Akron	Orlando	
Akron	Phoenix	
Akron	Portland, OR	
Akron	Punta Cana	
Akron	Saint Louis	
Akron	Salt Lake City	
Akron	San Antonio	
Akron	San Diego	
Akron	San Francisco	
Akron	San Jose	
Akron	Sao Paulo	
Akron	Sarasota	
Akron	Seattle	
Akron	St George	
Akron	Sydney	
Akron	Tampa	
Akron	Tulsa	
Akron	Washington, D.C.	
Akron	West Palm Beach	
Albany	Albuquerque	
Albany	Anchorage	
Albany	Arcata	
Albany	Aspen	
Albany	Atlanta	
Albany	Austin	
Albany	Beijing	
Albany	Boise	
Albany	Bozeman	
Albany	Burbank	
Albany	Calgary	
Albany	Cancun	
Albany	Charleston	
Albany	Charlotte	
Albany	Chicago	
Albany	Cincinnati	
Albany	Cleveland	
Albany	Colorado Springs	
Albany	Dallas	
Albany	Dayton	
Albany	Delhi	
Albany	Denver	
Albany	Detroit	
Albany	Eugene	
Albany	Fort Lauderdale	
Albany	Fort Myers	
Albany	Fresno	
Albany	Geneva	
Albany	Guatemala City	
Albany	Ho Chi Minh City	
Albany	Honolulu	
Albany	Houston	
Albany	Indianapolis	
Albany	Jackson	
Albany	Jacksonville	
