Origin	Destination
Abilene	Albuquerque	
Abilene	Atlanta	
Abilene	Baltimore	
Abilene	Boston	
Abilene	Charlotte	
Abilene	Chicago	
Abilene	Cincinnati	
Abilene	Cleveland	
Abilene	Colorado Springs	
Abilene	Columbus	
Abilene	Dallas	
Abilene	Denver	
Abilene	Destin	
Abilene	Detroit	
Abilene	El Paso	
Abilene	Fort Lauderdale	
Abilene	Houston	
Abilene	Indianapolis	
Abilene	Jacksonville	
Abilene	Kansas City	
Abilene	Knoxville	
Abilene	Las Vegas	
Abilene	Little Rock	
Abilene	Los Angeles	
Abilene	Memphis	
Abilene	Miami	
Abilene	Milwaukee	
Abilene	Minneapolis	
Abilene	Nashville	
Abilene	New Orleans	
Abilene	New York	
Abilene	New York/Newark	
Abilene	Norfolk	
Abilene	Omaha	
Abilene	Ontario	
Abilene	Orange County	
Abilene	Orlando	
Abilene	Pensacola	
Abilene	Philadelphia	
Abilene	Phoenix	
Abilene	Pittsburgh	
Abilene	Portland, OR	
Abilene	Raleigh	
Abilene	Richmond	
Abilene	Sacramento	
Abilene	Saint Louis	
Abilene	Salt Lake City	
Abilene	San Diego	
Abilene	San Francisco	
Abilene	Seattle	
Abilene	Steamboat Springs	
Abilene	Tampa	
Abilene	Tucson	
Abilene	Tulsa	
Abilene	Vancouver	
Abilene	Washington, D.C.	
Acapulco	Aguascalientes	
Acapulco	Atlanta	
Acapulco	Baltimore	
Acapulco	Bogota	
Acapulco	Buffalo	
Acapulco	Cabo San Lucas	
Acapulco	Cancun	
Acapulco	Cartagena	
Acapulco	Chicago	
Acapulco	Chihuahua	
Acapulco	Denver	
Acapulco	Guadalajara	
Acapulco	Hermosillo	
Acapulco	Houston	
Acapulco	Juarez	
Acapulco	La Paz	
Acapulco	Lincoln	
Acapulco	Los Angeles	
Acapulco	Mazatlan	
Acapulco	Mexicali	
Acapulco	Mexico City	
Acapulco	Monterrey	
Acapulco	Montreal	
Acapulco	Mérida	
Acapulco	New York/Newark	
Acapulco	Oaxaca	
Acapulco	Orange County	
Acapulco	Puerto Vallarta	
Acapulco	Queretaro	
Acapulco	San Francisco	
Acapulco	Tijuana	
Acapulco	Veracruz	
Acapulco	Villahermosa	
Acapulco	Washington, D.C.	
Accra	Atlanta	
Accra	Baltimore	
Accra	Boston	
Accra	Charlotte	
Accra	Chicago	
Accra	Cincinnati	
Accra	Columbus	
Accra	Dallas	
Accra	Dayton	
Accra	Denver	
Accra	Fort Lauderdale	
Accra	Hartford	
Accra	Houston	
Accra	Los Angeles	
Accra	Minneapolis	
Accra	New York/Newark	
Accra	Orlando	
Accra	Philadelphia	
Accra	Raleigh	
Accra	San Francisco	
Accra	Toronto	
Accra	Washington, D.C.	
Adelaide	Los Angeles	
Adelaide	New York/Newark	
Agana, Guam	Anchorage	
Agana, Guam	Aspen	
Agana, Guam	Atlanta	
Agana, Guam	Austin	
Agana, Guam	Baltimore	
Agana, Guam	Bangkok	
Agana, Guam	Beijing	
Agana, Guam	Billings	
Agana, Guam	Boise	
Agana, Guam	Boston	
Agana, Guam	Bozeman	
Agana, Guam	Buffalo	
Agana, Guam	Charleston	
Agana, Guam	Charlotte	
Agana, Guam	Chicago	
Agana, Guam	Chuuk	
Agana, Guam	Cleveland	
Agana, Guam	Columbus	
Agana, Guam	Coxen Hole	
Agana, Guam	Dallas	
Agana, Guam	Delhi	
Agana, Guam	Denver	
Agana, Guam	Detroit	
Agana, Guam	El Paso	
Agana, Guam	Eugene	
Agana, Guam	Fort Collins	
Agana, Guam	Fort Lauderdale	
Agana, Guam	Fresno	
Agana, Guam	Fukuoka	
Agana, Guam	Great Falls	
Agana, Guam	Gunnison	
Agana, Guam	Hartford	
Agana, Guam	Helena	
Agana, Guam	Ho Chi Minh City	
Agana, Guam	Hong Kong	
Agana, Guam	Honolulu	
Agana, Guam	Houston	
Agana, Guam	Idaho Falls	
Agana, Guam	Jackson	
Agana, Guam	Jacksonville	
Agana, Guam	Kalispell	
Agana, Guam	Knoxville	
Agana, Guam	Koror	
Agana, Guam	Kosrae	
Agana, Guam	Kwajalein	
Agana, Guam	Las Vegas	
Agana, Guam	Lexington	
Agana, Guam	Los Angeles	
Agana, Guam	Louisville	
Agana, Guam	Majuro	
Agana, Guam	Manila	
Agana, Guam	Maui	
Agana, Guam	Miami	
Agana, Guam	Milwaukee	
Agana, Guam	Minneapolis	
Agana, Guam	Minot	
Agana, Guam	Missoula	
Agana, Guam	Montrose	
Agana, Guam	Nagoya	
Agana, Guam	Nashville	
Agana, Guam	New Orleans	
Agana, Guam	New York/Newark	
Agana, Guam	Norfolk	
Agana, Guam	Okinawa	
Agana, Guam	Oklahoma City	
Agana, Guam	Omaha	
Agana, Guam	Ontario	
Agana, Guam	Orange County	
Agana, Guam	Orlando	
Agana, Guam	Osaka	
Agana, Guam	Pensacola	
Agana, Guam	Philadelphia	
Agana, Guam	Phoenix	
Agana, Guam	Pittsburgh	
Agana, Guam	Pohnpei	
Agana, Guam	Portland, OR	
Agana, Guam	Providence	
Agana, Guam	Raleigh	
Agana, Guam	Reno	
Agana, Guam	Richmond	
Agana, Guam	Sacramento	
Agana, Guam	Saint Louis	
Agana, Guam	Saipan	
Agana, Guam	Salt Lake City	
Agana, Guam	San Antonio	
Agana, Guam	San Diego	
Agana, Guam	San Francisco	
Agana, Guam	San Jose	
Agana, Guam	Santa Barbara	
Agana, Guam	Sapporo	
Agana, Guam	Seattle	
Agana, Guam	Sendai	
Agana, Guam	Seoul	
Agana, Guam	Shanghai	
Agana, Guam	Shreveport	
Agana, Guam	Singapore	
Agana, Guam	Spokane	
Agana, Guam	State College	
Agana, Guam	Steamboat Springs	
Agana, Guam	Sun Valley	
Agana, Guam	Taipei	
Agana, Guam	Tampa	
Agana, Guam	Tokyo	
Agana, Guam	Toronto	
Agana, Guam	Tucson	
Agana, Guam	Vail	
Agana, Guam	Washington, D.C.	
Agana, Guam	West Palm Beach	
Agana, Guam	Yap	
Aguadilla	Armenia	
Aguadilla	Atlanta	
Aguadilla	Atlantic City	
Aguadilla	Austin	
Aguadilla	Baltimore	
Aguadilla	Baltimore, MD / Washington DC AREA	
Aguadilla	Barranquilla	
Aguadilla	Bogota	
Aguadilla	Boston	
Aguadilla	Bucaramanga	
Aguadilla	Buffalo	
Aguadilla	Burbank	
Aguadilla	Cali	
Aguadilla	Cancun	
Aguadilla	Cartagena	
Aguadilla	Charlotte	
Aguadilla	Chicago	
Aguadilla	Cleveland	
Aguadilla	Columbus	
Aguadilla	Dallas	
Aguadilla	Detroit	
Aguadilla	El Paso	
Aguadilla	Fort Lauderdale, FL	
Aguadilla	Guatemala City	
Aguadilla	Hartford	
Aguadilla	Houston	
Aguadilla	Indianapolis	
Aguadilla	Kansas City	
Aguadilla	Las Vegas	
Aguadilla	Latrobe	
Aguadilla	Lima	
Aguadilla	Los Angeles	
Aguadilla	Louisville	
Aguadilla	Manchester	
Aguadilla	Medellin	
Aguadilla	Memphis	
Aguadilla	Miami	
Aguadilla	Milwaukee	
Aguadilla	Minneapolis	
Aguadilla	Myrtle Beach	
Aguadilla	Nashville	
Aguadilla	New Orleans	
Aguadilla	New York	
Aguadilla	New York/Newark	
Aguadilla	Norfolk	
Aguadilla	Oakland, CA / San Francisco, CA AREA	
Aguadilla	Orange County	
Aguadilla	Oranjestad, Aruba	
Aguadilla	Orlando	
Aguadilla	Ottawa	
Aguadilla	Pensacola	
Aguadilla	Philadelphia	
Aguadilla	Phoenix	
Aguadilla	Pittsburgh	
Aguadilla	Portland, OR	
Aguadilla	Providence	
Aguadilla	Raleigh	
Aguadilla	Richmond	
Aguadilla	Rochester	
Aguadilla	Saint Croix	
Aguadilla	Saint Louis	
Aguadilla	San Diego	
Aguadilla	San Francisco	
Aguadilla	San Jose, CR	
Aguadilla	San Salvador	
Aguadilla	Seattle	
Aguadilla	St. Thomas	
Aguadilla	Tampa	
Aguadilla	Tegucigalpa	
Aguadilla	Traverse City	
Aguadilla	Washington, D.C.	
Aguadilla	Wichita	
Aguascalientes	Acapulco	
Aguascalientes	Amsterdam	
Aguascalientes	Atlanta	
Aguascalientes	Bogota	
Aguascalientes	Cabo San Lucas	
Aguascalientes	Cancun	
Aguascalientes	Cartagena	
Aguascalientes	Chetumal	
Aguascalientes	Chicago	
Aguascalientes	Chihuahua	
Aguascalientes	Cozumel	
Aguascalientes	Denver	
Aguascalientes	Detroit	
Aguascalientes	Guadalajara	
Aguascalientes	Guatemala City	
Aguascalientes	Hermosillo	
Aguascalientes	Houston	
Aguascalientes	Huatulco	
Aguascalientes	Ixtapa-Zihuatanejo	
Aguascalientes	Juarez	
Aguascalientes	La Paz	
Aguascalientes	London	
Aguascalientes	Los Angeles	
Aguascalientes	Madrid	
Aguascalientes	Mazatlan	
Aguascalientes	Medellin	
Aguascalientes	Mexicali	
Aguascalientes	Mexico City	
Aguascalientes	Monterrey	
Aguascalientes	Montreal	
Aguascalientes	Mérida	
Aguascalientes	New York	
Aguascalientes	Oaxaca	
Aguascalientes	Orlando	
Aguascalientes	Paris	
Aguascalientes	Puerto Vallarta	
Aguascalientes	Rome	
Aguascalientes	San Antonio	
Aguascalientes	San Jose, CR	
Aguascalientes	Sao Paulo	
Aguascalientes	Shanghai	
Aguascalientes	Tapachula	
Aguascalientes	Tijuana	
Aguascalientes	Tokyo	
Aguascalientes	Toronto	
Aguascalientes	Tuxtla Gutierrez	
Aguascalientes	Veracruz	
Aguascalientes	Villahermosa	
Ahmedabad	Atlanta	
Ahmedabad	Chicago	
Ahmedabad	Dallas	
Ahmedabad	Houston	
Ahmedabad	Los Angeles	
Ahmedabad	New York/Newark	
Ahmedabad	San Francisco	
Ahmedabad	Toronto	
Ahmedabad	Washington, D.C.	
Akron	Albany	
Akron	Asheville	
Akron	Atlanta	
Akron	Augusta	
Akron	Austin	
Akron	Baltimore	
Akron	Bangkok	
Akron	Birmingham	
Akron	Bogota	
Akron	Boston	
Akron	Bozeman	
Akron	Cancun	
Akron	Charleston	
Akron	Charlotte	
Akron	Chattanooga	
Akron	Chicago	
Akron	Columbia	
Akron	Dallas	
Akron	Daytona Beach	
Akron	Denver	
Akron	Des Moines	
Akron	Destin	
Akron	Fayetteville	
Akron	Fort Lauderdale	
Akron	Fort Myers	
Akron	Greensboro	
Akron	Greenville	
Akron	Hartford	
Akron	Hilton Head Island	
Akron	Honolulu	
Akron	Houston	
Akron	Huntsville	
Akron	Jacksonville	
Akron	Kansas City	
Akron	Key West	
Akron	Knoxville	
Akron	Las Vegas	
Akron	Little Rock	
Akron	Los Angeles	
Akron	Manchester	
Akron	Maui	
Akron	Medford	
Akron	Melbourne	
Akron	Memphis	
Akron	Miami	
Akron	Minneapolis	
Akron	Montego Bay	
Akron	Monterey	
Akron	Mumbai	
Akron	Myrtle Beach	
Akron	Nashville	
Akron	New Orleans	
Akron	New York	
Akron	New York/Newark	
Akron	Norfolk	
Akron	Oklahoma City	
Akron	Orange County	
Akron	Orlando	
Akron	Pensacola	
Akron	Philadelphia	
Akron	Phoenix	
Akron	Portland, ME	
Akron	Portland, OR	
Akron	Providence	
Akron	Punta Cana	
Akron	Raleigh	
Akron	Richmond	
Akron	Saint Louis	
Akron	Salt Lake City	
Akron	San Antonio	
Akron	San Diego	
Akron	San Francisco	
Akron	San Jose	
Akron	San Juan	
Akron	Sao Paulo	
Akron	Sarasota	
Akron	Savannah	
Akron	Seattle	
Akron	St George	
Akron	Sydney	
Akron	Tampa	
Akron	Tulsa	
Akron	Washington, D.C.	
Akron	West Palm Beach	
Akron	Wilmington	
Alakanuk	Québec	
Albany	Akron	
Albany	Albuquerque	
Albany	Amsterdam	
Albany	Anchorage	
Albany	Arcata	
Albany	Asheville	
Albany	Aspen	
Albany	Athens	
Albany	Atlanta	
Albany	Augusta	
Albany	Austin	
Albany	Baltimore	
Albany	Bangor	
Albany	Barcelona	
Albany	Basseterre, St. Kitts	
Albany	Beijing	
Albany	Birmingham	
Albany	Bogota	
Albany	Boise	
Albany	Bozeman	
Albany	Brownsville	
Albany	Buenos Aires	
Albany	Burbank	
Albany	Cabo San Lucas	
Albany	Calgary	
Albany	Cancun	
Albany	Charleston	
Albany	Charlotte	
Albany	Charlottesville	
Albany	Chattanooga	
Albany	Chicago	
Albany	Cincinnati	
Albany	Cleveland	
Albany	Colorado Springs	
Albany	Columbia	
Albany	Columbus	
Albany	Cozumel	
Albany	Dallas	
Albany	Dayton	
Albany	Daytona Beach	
Albany	Delhi	
Albany	Denver	
Albany	Des Moines	
Albany	Destin	
Albany	Detroit	
Albany	Doha	
Albany	Dublin	
Albany	El Paso	
Albany	Eugene	
Albany	Fairbanks	
Albany	Fayetteville	
Albany	Flagstaff	
Albany	Fort Lauderdale	
Albany	Fort Myers	
Albany	Frankfurt	
Albany	Fresno	
Albany	Ft Wayne	
