Origin	Destination	
Acapulco	Aguascalientes	
Acapulco	Atlanta	
Acapulco	Bogota	
Acapulco	Cabo San Lucas	
Acapulco	Cancun	
Acapulco	Cartagena	
Acapulco	Chicago	
Acapulco	Chihuahua	
Acapulco	Guadalajara	
Acapulco	Hermosillo	
Acapulco	Juarez	
Acapulco	La Paz	
Acapulco	Los Angeles	
Acapulco	Mazatlan	
Acapulco	Mexicali	
Acapulco	Mexico City	
Acapulco	Monterrey	
Acapulco	Montreal	
Acapulco	Mérida	
Acapulco	Oaxaca	
Acapulco	Puerto Vallarta	
Acapulco	Queretaro	
Acapulco	Tijuana	
Acapulco	Veracruz	
Acapulco	Villahermosa	
Aguascalientes	Acapulco	
Aguascalientes	Amsterdam	
Aguascalientes	Atlanta	
Aguascalientes	Bogota	
Aguascalientes	Cabo San Lucas	
Aguascalientes	Cancun	
Aguascalientes	Cartagena	
Aguascalientes	Chetumal	
Aguascalientes	Chicago	
Aguascalientes	Chihuahua	
Aguascalientes	Cozumel	
Aguascalientes	Detroit	
Aguascalientes	Guadalajara	
Aguascalientes	Guatemala City	
Aguascalientes	Hermosillo	
Aguascalientes	Huatulco	
Aguascalientes	Ixtapa-Zihuatanejo	
Aguascalientes	Juarez	
Aguascalientes	La Paz	
Aguascalientes	London	
Aguascalientes	Los Angeles	
Aguascalientes	Madrid	
Aguascalientes	Mazatlan	
Aguascalientes	Medellin	
Aguascalientes	Mexicali	
Aguascalientes	Mexico City	
Aguascalientes	Monterrey	
Aguascalientes	Montreal	
Aguascalientes	Mérida	
Aguascalientes	New York	
Aguascalientes	Oaxaca	
Aguascalientes	Orlando	
Aguascalientes	Paris	
Aguascalientes	Puerto Vallarta	
Aguascalientes	Rome	
Aguascalientes	San Antonio	
Aguascalientes	San Jose, CR	
Aguascalientes	Sao Paulo	
Aguascalientes	Tapachula	
Aguascalientes	Tijuana	
Aguascalientes	Tokyo	
Aguascalientes	Toronto	
Aguascalientes	Tuxtla Gutierrez	
Aguascalientes	Veracruz	
Aguascalientes	Villahermosa	
Albany	Mexico City	
Albuquerque	Guadalajara	
Albuquerque	Mexico City	
Alicante	Mexico City	
Amsterdam	Cancun	
Amsterdam	Guadalajara	
Amsterdam	Medellin	
Amsterdam	Mexico City	
Amsterdam	Monterrey	
Amsterdam	Mérida	
Amsterdam	Puerto Vallarta	
Asheville	Mexico City	
Athens	Mexico City	
Atlanta	Acapulco	
Atlanta	Aguascalientes	
Atlanta	Cabo San Lucas	
Atlanta	Cancun	
Atlanta	Guadalajara	
Atlanta	Leon	
Atlanta	Mexico City	
Atlanta	Monterrey	
Atlanta	Morelia	
Atlanta	Mérida	
Atlanta	Oaxaca	
Atlanta	Puerto Vallarta	
Atlanta	Queretaro	
Atlanta	Tulum	
Atlanta	Tuxtla Gutierrez	
Atlanta	Veracruz	
Atlanta	Villahermosa	
Austin	Cabo San Lucas	
Austin	Cancun	
Austin	Guadalajara	
Austin	Ixtapa-Zihuatanejo	
Austin	Leon	
Austin	Mexico City	
Austin	Monterrey	
Austin	Oaxaca	
Austin	Puerto Vallarta	
Austin	San Luis Potosi	
Baltimore	Cabo San Lucas	
Baltimore	Cancun	
Baltimore	Guadalajara	
Baltimore	Mexico City	
Baltimore	Puerto Vallarta	
Bangkok	Mexico City	
Barcelona	Barranquilla	
Barcelona	Bogota	
Barcelona	Cancun	
Barcelona	Guadalajara	
Barcelona	Mexico City	
Barcelona	Monterrey	
Barranquilla	Cancun	
Barranquilla	Mexico City	
Barranquilla	Monterrey	
Belo Horizonte	Mexico City	
Berlin	Bogota	
Berlin	Mexico City	
Bilbao	Mexico City	
Bogota	Acapulco	
Bogota	Aguascalientes	
Bogota	Amsterdam	
Bogota	Barcelona	
Bogota	Berlin	
Bogota	Cabo San Lucas	
Bogota	Calgary	
Bogota	Cancun	
Bogota	Chihuahua	
Bogota	Durango	
Bogota	Guadalajara	
Bogota	Guatemala City	
Bogota	Hermosillo	
Bogota	Houston	
Bogota	Juarez	
Bogota	La Paz	
Bogota	Las Vegas	
Bogota	Leon	
Bogota	London	
Bogota	Los Angeles	
Bogota	Madrid	
Bogota	Managua	
Bogota	Mazatlan	
Bogota	Mexicali	
Bogota	Mexico City	
Bogota	Miami	
Bogota	Monterrey	
Bogota	Montreal	
Bogota	Morelia	
Bogota	Mérida	
Bogota	New York	
Bogota	Oaxaca	
Bogota	Orlando	
Bogota	Paris	
Bogota	Puerto Vallarta	
Bogota	Queretaro	
Bogota	San Francisco	
Bogota	San Luis Potosi	
Bogota	Seattle	
Bogota	Seoul	
Bogota	Tijuana	
Bogota	Tokyo	
Bogota	Toronto	
Bogota	Torreon	
Bogota	Tuxtla Gutierrez	
Bogota	Vancouver	
Bogota	Veracruz	
Bogota	Villahermosa	
Boise	Guadalajara	
Bordeaux	Mexico City	
Boston	Cabo San Lucas	
Boston	Cancun	
Boston	Guadalajara	
Boston	Mexico City	
Boston	Monterrey	
Boston	Puerto Vallarta	
Brasilia	Mexico City	
Brussels	Cancun	
Brussels	Mexico City	
Bucaramanga	Cancun	
Bucaramanga	Mexico City	
Buenos Aires	Cabo San Lucas	
Buenos Aires	Cancun	
Buenos Aires	Chicago	
Buenos Aires	Guadalajara	
Buenos Aires	Las Vegas	
Buenos Aires	Los Angeles	
Buenos Aires	Madrid	
Buenos Aires	Mexicali	
Buenos Aires	Mexico City	
Buenos Aires	Miami	
Buenos Aires	Monterrey	
Buenos Aires	New York	
Buenos Aires	Puerto Vallarta	
Buenos Aires	Tijuana	
Buenos Aires	Washington, D.C.	
Cabo San Lucas	Acapulco	
Cabo San Lucas	Aguascalientes	
Cabo San Lucas	Amsterdam	
Cabo San Lucas	Barranquilla	
Cabo San Lucas	Bogota	
Cabo San Lucas	Cancun	
Cabo San Lucas	Chihuahua	
Cabo San Lucas	Guadalajara	
Cabo San Lucas	Guatemala City	
Cabo San Lucas	Ixtapa-Zihuatanejo	
Cabo San Lucas	Juarez	
Cabo San Lucas	Las Vegas	
