Origin	Destination	
Aguadilla	Armenia	
Aguadilla	Atlanta	
Aguadilla	Atlantic City	
Aguadilla	Austin	
Aguadilla	Baltimore, MD / Washington DC AREA	
Aguadilla	Barranquilla	
Aguadilla	Bogota	
Aguadilla	Boston	
Aguadilla	Bucaramanga	
Aguadilla	Burbank	
Aguadilla	Cali	
Aguadilla	Cancun	
Aguadilla	Cartagena	
Aguadilla	Charlotte	
Aguadilla	Chicago	
Aguadilla	Cleveland	
Aguadilla	Columbus	
Aguadilla	Dallas	
Aguadilla	Detroit	
Aguadilla	Fort Lauderdale, FL	
Aguadilla	Guatemala City	
Aguadilla	Hartford	
Aguadilla	Houston	
Aguadilla	Indianapolis	
Aguadilla	Kansas City	
Aguadilla	Las Vegas	
Aguadilla	Latrobe	
Aguadilla	Lima	
Aguadilla	Los Angeles	
Aguadilla	Louisville	
Aguadilla	Manchester	
Aguadilla	Medellin	
Aguadilla	Memphis	
Aguadilla	Miami	
Aguadilla	Milwaukee	
Aguadilla	Minneapolis	
Aguadilla	Myrtle Beach	
Aguadilla	Nashville	
Aguadilla	New Orleans	
Aguadilla	New York	
Aguadilla	New York/Newark	
Aguadilla	Oakland, CA / San Francisco, CA AREA	
Aguadilla	Orange County	
Aguadilla	Oranjestad, Aruba	
Aguadilla	Orlando	
Aguadilla	Pensacola	
Aguadilla	Philadelphia	
Aguadilla	Phoenix	
Aguadilla	Pittsburgh	
Aguadilla	Portland, OR	
Aguadilla	Raleigh	
Aguadilla	Richmond	
Aguadilla	Rochester	
Aguadilla	Saint Croix	
Aguadilla	Saint Louis	
Aguadilla	San Diego	
Aguadilla	San Jose, CR	
Aguadilla	San Salvador	
Aguadilla	Seattle	
Aguadilla	St. Thomas	
Aguadilla	Tampa	
Aguadilla	Tegucigalpa	
Albuquerque	Atlanta	
Albuquerque	Charlotte	
Albuquerque	Dallas	
Albuquerque	Detroit	
Albuquerque	Houston	
Albuquerque	Las Vegas	
Albuquerque	Los Angeles	
Albuquerque	Louisville	
Albuquerque	New York/Newark	
Albuquerque	Oakland, CA / San Francisco, CA AREA	
Albuquerque	Orlando	
Albuquerque	Portland, OR	
Albuquerque	Sacramento	
Albuquerque	San Diego	
Albuquerque	Seattle	
Albuquerque	Tampa	
Armenia	Aguadilla	
Armenia	Atlanta	
Armenia	Atlantic City	
Armenia	Austin	
Armenia	Baltimore, MD / Washington DC AREA	
Armenia	Boston	
Armenia	Burbank	
Armenia	Charlotte	
Armenia	Chicago	
Armenia	Cleveland	
Armenia	Columbus	
Armenia	Dallas	
Armenia	Detroit	
Armenia	Fort Lauderdale, FL	
Armenia	Hartford	
Armenia	Houston	
Armenia	Indianapolis	
Armenia	Kansas City	
Armenia	Las Vegas	
Armenia	Los Angeles	
Armenia	Louisville	
Armenia	Manchester	
Armenia	Miami	
Armenia	Minneapolis	
Armenia	Myrtle Beach	
Armenia	Nashville	
Armenia	New Orleans	
Armenia	New York	
Armenia	New York/Newark	
Armenia	Oakland, CA / San Francisco, CA AREA	
Armenia	Orlando	
Armenia	Philadelphia	
Armenia	Phoenix	
Armenia	Pittsburgh	
Armenia	Sacramento	
Armenia	Saint Louis	
Armenia	San Diego	
Armenia	San Juan	
Armenia	Tampa	
Armenia	West Palm Beach	
Atlanta	Aguadilla	
Atlanta	Albuquerque	
Atlanta	Armenia	
Atlanta	Atlantic City	
Atlanta	Austin	
Atlanta	Baltimore, MD / Washington DC AREA	
Atlanta	Barranquilla	
Atlanta	Bogota	
Atlanta	Boise	
Atlanta	Boston	
Atlanta	Bucaramanga	
Atlanta	Burbank	
Atlanta	Cabo San Lucas	
Atlanta	Cali	
Atlanta	Cancun	
Atlanta	Cap Haitien	
Atlanta	Cartagena	
Atlanta	Charlotte	
Atlanta	Chicago	
Atlanta	Cleveland	
Atlanta	Columbus	
Atlanta	Dallas	
Atlanta	Detroit	
Atlanta	Fort Lauderdale, FL	
Atlanta	Fort Myers	
Atlanta	Guatemala City	
Atlanta	Guayaquil	
Atlanta	Hartford	
Atlanta	Houston	
Atlanta	Indianapolis	
Atlanta	Kansas City	
Atlanta	Kingston	
Atlanta	Las Vegas	
Atlanta	Latrobe	
Atlanta	Lima	
Atlanta	Los Angeles	
Atlanta	Managua	
Atlanta	Manchester	
Atlanta	Medellin	
Atlanta	Miami	
Atlanta	Milwaukee	
Atlanta	Minneapolis	
Atlanta	Montego Bay	
Atlanta	Monterrey	
Atlanta	Myrtle Beach	
Atlanta	Nashville	
Atlanta	New Orleans	
Atlanta	New York	
Atlanta	New York/Newark	
Atlanta	Oakland, CA / San Francisco, CA AREA	
Atlanta	Orange County	
Atlanta	Oranjestad, Aruba	
Atlanta	Orlando	
Atlanta	Panama City	
Atlanta	Philadelphia	
Atlanta	Phoenix	
Atlanta	Pittsburgh	
Atlanta	Ponce	
Atlanta	Port-au-Prince	
Atlanta	Portland, OR	
Atlanta	Puerto Vallarta	
Atlanta	Punta Cana	
Atlanta	Raleigh	
Atlanta	Reno	
Atlanta	Richmond	
Atlanta	Rochester	
Atlanta	Sacramento	
Atlanta	Saint Croix	
Atlanta	Saint Martin	
Atlanta	Salt Lake City	
Atlanta	San Diego	
Atlanta	San Jose, CR	
Atlanta	San Juan	
Atlanta	San Pedro Sula	
Atlanta	San Salvador	
